sched_dep_time,act_arr_time,original_index,unique_index
7:10 a.m.,9:32 a.m.,0,0
7:45 p.m.,,1,1
6:30 p.m.,,2,2
6:40 a.m.,9:28 a.m.,3,3
12:15 p.m.,2:50 p.m.,4,4
11:25 p.m.,,5,5
7:00 a.m.,9:45 a.m.,6,6
4:15 p.m.,7:39 p.m.,7,7
11:50 a.m.,4:09 p.m.,8,8
6:00 a.m.,9:05 a.m.,9,9
10:45 a.m.,1:40 p.m.,10,10
7:55 a.m.,11:01 a.m.,11,11
10:15 a.m.,11:56 a.m.,12,12
7:30 a.m.,8:06 a.m.,13,13
1:00 p.m.,3:30 p.m.,14,14
9:05 a.m.,1:27 p.m.,15,15
11:45 a.m.,2:10 p.m.,16,16
7:25 a.m.,11:06 a.m.,17,17
6:45 a.m.,7:40 a.m.,18,18
11:35 a.m.,2:27 p.m.,19,19
10:40 a.m.,2:46 p.m.,20,20
3:35 p.m.,3:33 p.m.,21,21
7:15 a.m.,10:36 a.m.,22,22
6:45 p.m.,8:53 p.m.,23,23
12:00 p.m.,3:16 p.m.,24,24
6:00 a.m.,7:51 a.m.,25,25
7:10 a.m.,9:31 a.m.,26,26
4:55 p.m.,7:55 p.m.,27,27
8:00 p.m.,9:53 p.m.,28,28
10:40 a.m.,3:04 p.m.,29,29
10:40 a.m.,12:50 p.m.,30,30
11:55 p.m.,,31,31
9:00 p.m.,,32,32
8:25 p.m.,,33,33
6:59 a.m.,10:04 a.m.,34,34
8:35 a.m.,11:44 a.m.,35,35
1:30 p.m.,,36,36
8:20 p.m.,,37,37
2:35 p.m.,3:43 p.m.,38,38
2:55 p.m.,5:43 p.m.,39,39
7:15 a.m.,11:06 a.m.,40,40
12:10 p.m.,1:43 p.m.,41,41
1:05 p.m.,3:13 p.m.,42,42
8:35 a.m.,10:16 a.m.,43,43
3:05 p.m.,6:43 p.m.,44,44
11:25 a.m.,4:56 p.m.,45,45
4:00 p.m.,6:15 p.m.,46,46
7:10 a.m.,3:14 p.m.,47,47
6:00 a.m.,6:19 a.m.,48,48
7:10 a.m.,11:12 a.m.,49,49
,9:22 a.m.,50,50
7:00 p.m.,,51,51
,9:14 a.m.,52,52
,11:30 a.m.,53,53
,9:29 a.m.,54,54
,10:31 p.m.,55,55
,5:14 p.m.,56,56
11:25 a.m.,,57,57
,4:54 p.m.,58,58
,11:11 a.m.,59,59
,12/2/11 6:35 a.m.,60,60
,7:04 a.m.,61,61
12:30 a.m.,,62,62
,6:25 p.m.,63,63
7:35 a.m.,,64,64
9:45 a.m.,,65,65
,1:11 p.m.,66,66
,9:56 a.m.,67,67
,9:29 a.m.,68,54
,7:37 p.m.,69,68
,1:36 p.m.,70,69
2:30 p.m.,,71,70
8:05 a.m.,,72,71
,4:43 p.m.,73,72
,4:08 p.m.,74,73
11:40 a.m.,,75,74
,8:50 a.m.,76,75
,5:00 p.m.,77,76
6:00 a.m.,,78,77
8:40 a.m.,,79,78
,11:50 a.m.,80,79
,3:13 p.m.,81,80
,1:23 p.m.,82,81
,3:09 p.m.,83,82
,1:55 p.m.,84,83
,5:22 p.m.,85,84
,1:11 p.m.,86,66
5:25 p.m.,,87,85
7:10 p.m.,,88,86
,2:39 p.m.,89,87
,5:24 p.m.,90,88
3:35 p.m.,,91,89
,10:34 a.m.,92,90
,7:25 p.m.,93,91
,8:38 p.m.,94,92
,3:04 p.m.,95,93
7:15 p.m.,,96,94
,7:20 p.m.,97,95
9:15 a.m.,,98,96
,7:49 a.m.,99,97
,9:26 a.m.,100,98
,7:43 p.m.,101,99
,10:43 a.m.,102,100
,6:28 p.m.,103,101
,7:23 p.m.,104,102
,9:47 p.m.,105,103
10:25 a.m.,,106,104
,10:43 a.m.,107,100
,2:58 p.m.,108,105
,4:20 p.m.,109,106
,2:50 p.m.,110,107
1:29 p.m.,,111,108
,5:52 a.m.,112,109
,12/2/11 12:01 a.m.,113,110
,11:49 p.m.,114,111
,11:35 p.m.,115,112
,9:45 a.m.,116,113
,11:33 a.m.,117,114
,9:13 a.m.,118,115
,3:29 p.m.,119,116
2:53 p.m.,,120,117
,8:33 a.m.,121,118
11:08 p.m.,,122,119
,6:19 p.m.,123,120
,7:50 a.m.,124,121
,1:52 p.m.,125,122
,9:12 p.m.,126,123
,4:22 p.m.,127,124
2:30 p.m.,,128,70
8:55 a.m.,,129,125
,3:36 p.m.,130,126
,5:39 p.m.,131,127
,11:04 a.m.,132,128
,1:42 p.m.,133,129
,10:58 a.m.,134,130
9:05 a.m. (-00:00),,135,131
,2:49 p.m.,136,132
,10:12 a.m.,137,133
,6:30 p.m.,138,134
,7:59 a.m.,139,135
,6:11 p.m.,140,136
,2:21 p.m.,141,137
2:55 p.m.,,142,138
,5:34 p.m.,143,139
,12:37 p.m.,144,140
,7:37 a.m.,145,141
4:00 p.m.,,146,142
,6:15 a.m.,147,143
,10:52 a.m.,148,144
,3:12 p.m.,149,145
7:10 a.m.,9:22 a.m.,150,146
,10:23 p.m.,151,147
6:40 a.m.,9:12 a.m.,152,148
8:00 a.m.,11:35 a.m.,153,149
,9:40 a.m.,154,150
7:45 p.m.,10:39 p.m.&nbsp(Estimated),155,151
12:00 p.m.,3:10 p.m.,156,152
3:27 p.m.,5:17 p.m.,157,153
,3:25 p.m.,158,154
,11:18 a.m.,159,155
11:25 p.m.,Not Available,160,156
,7:10 a.m.,161,157
,5:23 a.m.,162,158
4:00 p.m.,6:25 p.m.,163,159
,9:09 a.m.,164,160
,1:09 p.m.,165,161
9:05 a.m.,1:18 p.m.,166,162
,9:54 a.m.,167,163
7:00 a.m.,9:42 a.m.,168,164
4:15 p.m.,7:35 p.m.,169,165
,1:34 p.m.,170,166
,6:59 p.m.,171,167
,11:26 a.m.,172,168
,4:45 p.m.,173,169
11:50 a.m.,4:09 p.m.,174,8
,1:12 p.m.,175,170
6:00 a.m.,9:00 a.m.,176,171
11:05 a.m.,5:03 p.m.,177,172
,10:18 a.m.,178,173
,10:47 a.m.,179,174
10:15 a.m.,11:50 a.m.,180,175
1:00 p.m.,3:19 p.m.,181,176
,1:27 p.m.,182,177
,3:20 p.m.,183,178
,2:01 p.m.,184,179
2:30 p.m.,5:28 p.m.,185,180
12:00 p.m.,1:14 p.m.,186,181
,7:55 p.m.,187,182
,9:38 p.m.,188,183
10:40 a.m.,2:37 p.m.,189,184
12:57 p.m.,,190,185
,3:25 p.m.,191,154
7:15 a.m.,10:29 a.m.,192,186
6:30 p.m.,Not Available,193,187
6:45 p.m.,8:43 p.m.,194,188
7:15 p.m.,Not Available,195,189
,7:53 p.m.,196,190
9:15 a.m.,12:03 p.m.,197,191
6:00 a.m.,7:51 a.m.,198,25
7:10 a.m.,9:29 a.m.,199,192
,7:53 p.m.,200,190
3:50 p.m.,6:36 p.m.,201,193
,7:26 p.m.,202,194
8:00 p.m.,9:49 p.m.,203,195
,6:13 p.m.,204,196
,10:45 a.m.,205,197
10:40 a.m.,2:56 p.m.,206,198
1:33 p.m.,4:18 p.m.,207,199
12:15 p.m.,2:52 p.m.,208,200
,4:06 p.m.,209,201
11:55 p.m.,,210,31
4:25 p.m.,Not Available,211,202
9:00 p.m.,Not Available,212,203
8:25 p.m.,Not Available,213,204
6:59 a.m.,9:58 a.m.,214,205
8:35 a.m.,11:40 a.m.,215,206
,9:11 a.m.,216,207
1:30 p.m.,Not Available,217,208
,4:55 p.m.,218,209
,8:41 a.m.,219,210
11:08 p.m.,,220,119
5:30 p.m.,,221,211
,7:58 a.m.,222,212
,2:02 p.m.,223,213
,9:11 p.m.,224,214
,4:24 p.m.,225,215
,6:59 p.m.,226,167
,12:10 p.m.,227,216
2:35 p.m.,3:36 p.m.,228,217
2:55 p.m.,5:34 p.m.,229,218
7:15 a.m.,11:07 a.m.,230,219
12:10 p.m.,1:40 p.m.,231,220
7:55 a.m.,11:00 a.m.,232,221
,12:00 p.m.,233,222
1:05 p.m.,3:01 p.m.,234,223
,10:10 a.m.,235,224
3:05 p.m.,6:36 p.m.,236,225
7:30 a.m.,7:57 a.m.,237,226
,4:52 p.m.,238,227
4:00 p.m.,6:09 p.m.,239,228
11:35 a.m.,2:18 p.m.,240,229
7:25 a.m.,10:53 a.m.,241,230
,5:09 p.m.,242,231
11:55 a.m.,5:35 p.m.,243,232
10:40 a.m.,12:48 p.m.,244,233
6:45 a.m.,7:32 a.m.,245,234
4:00 p.m.,6:33 p.m.,246,235
6:00 a.m.,6:07 a.m.,247,236
7:10 a.m.,11:00 a.m.,248,237
7:10 a.m.,3:09 p.m.,249,238
7:10 a.m.,,250,239
6:40 a.m.,9:09 a.m.,251,240
8:00 a.m.,11:34 a.m.,252,241
8:41 a.m.,,253,242
7:45 p.m.,,254,1
6:30 p.m.,7:35 p.m.,255,243
3:27 p.m.,,256,244
11:25 a.m.,,257,57
11:25 a.m.,,258,57
10:39 a.m.,,259,245
11:25 p.m.,7:02 a.m.,260,246
6:00 a.m.,,261,77
12:15 p.m.,,262,247
4:00 p.m.,,263,142
9:45 a.m.,,264,65
7:00 a.m.,,265,248
8:15 a.m.,,266,249
4:15 p.m.,,267,250
2:30 p.m.,,268,70
11:50 a.m.,,269,251
6:00 a.m.,8:50 a.m.,270,252
11:05 a.m.,,271,253
6:00 a.m.,,272,77
8:40 a.m.,,273,78
10:45 a.m.,,274,254
10:15 a.m.,11:50 a.m.,275,175
7:30 a.m.,,276,255
1:00 p.m.,3:13 p.m.,277,256
12:30 a.m.,,278,62
9:05 a.m.,1:11 p.m.,279,257
11:45 a.m.,,280,258
12:00 p.m.,,281,259
7:25 a.m.,10:52 a.m.,282,260
11:35 a.m.,2:17 p.m.,283,261
10:40 a.m.,2:36 p.m.,284,262
7:15 a.m.,10:34 a.m.,285,263
8:05 a.m.,,286,71
6:45 p.m.,,287,264
12:00 p.m.,3:09 p.m.,288,265
7:15 p.m.,,289,94
1:55 p.m.,,290,266
9:15 a.m.,,291,96
6:00 a.m.,,292,77
7:10 a.m.,9:23 a.m.,293,267
3:50 p.m.,,294,268
4:16 p.m.,,295,269
8:00 p.m.,,296,270
10:25 a.m.,,297,104
7:05 a.m.,,298,271
10:40 a.m.,2:52 p.m.,299,272
1:33 p.m.,,300,273
11:55 p.m.,5:49 a.m.,301,274
4:25 p.m.,11:56 p.m.,302,275
9:00 p.m.,,303,32
8:25 p.m.,11:54 p.m.,304,276
6:59 a.m.,9:56 a.m.,305,277
8:35 a.m.,11:39 a.m.,306,278
2:30 p.m.,,307,70
8:29 a.m.,,308,279
1:30 p.m.,,309,36
2:53 p.m.,,310,117
7:35 a.m.,,311,64
1:45 p.m.,,312,280
11:15 a.m.,,313,281
8:20 p.m.,,314,37
2:55 p.m.,,315,138
2:30 p.m.,,316,70
2:35 p.m.,,317,282
2:55 p.m.,,318,138
7:15 a.m.,11:04 a.m.,319,283
2:55 p.m.,,320,138
12:10 p.m.,,321,284
7:55 a.m.,,322,285
9:05 a.m.,,323,286
1:05 p.m.,2:49 p.m.,324,287
7:53 a.m.,1:23 p.m.,325,288
8:35 a.m.,,326,289
3:05 p.m.,,327,290
4:00 p.m.,,328,142
2:55 p.m.,,329,138
11:55 a.m.,,330,291
10:40 a.m.,,331,292
6:45 a.m.,7:40 a.m.,332,18
4:00 p.m.,,333,142
6:00 a.m.,,334,77
7:10 a.m.,10:49 a.m.,335,293
7:10 a.m.,,336,239
,9:22 a.m.,337,50
7:00 p.m.,,338,51
,9:14 a.m.,339,52
,11:30 a.m.,340,53
,9:29 a.m.,341,54
,10:31 p.m.,342,55
,5:14 p.m.,343,56
11:25 a.m.,,344,57
,4:54 p.m.,345,58
,11:11 a.m.,346,59
,12/2/11 6:35 a.m.,347,60
,7:04 a.m.,348,61
12:30 a.m.,,349,62
,6:25 p.m.,350,63
7:35 a.m.,,351,64
9:45 a.m.,,352,65
,1:11 p.m.,353,66
,9:56 a.m.,354,67
,9:29 a.m.,355,54
,7:37 p.m.,356,68
,1:36 p.m.,357,69
2:30 p.m.,,358,70
8:05 a.m.,,359,71
,4:43 p.m.,360,72
,4:08 p.m.,361,73
11:40 a.m.,,362,74
,8:50 a.m.,363,75
,5:00 p.m.,364,76
6:00 a.m.,,365,77
8:40 a.m.,,366,78
,11:50 a.m.,367,79
,3:13 p.m.,368,80
,1:23 p.m.,369,81
,3:09 p.m.,370,82
,1:55 p.m.,371,83
,5:22 p.m.,372,84
,1:11 p.m.,373,66
5:25 p.m.,,374,85
7:10 p.m.,,375,86
,2:39 p.m.,376,87
,5:24 p.m.,377,88
3:35 p.m.,,378,89
,10:34 a.m.,379,90
,7:25 p.m.,380,91
,8:38 p.m.,381,92
,3:04 p.m.,382,93
7:15 p.m.,,383,94
,7:20 p.m.,384,95
9:15 a.m.,,385,96
,7:49 a.m.,386,97
,9:26 a.m.,387,98
,7:43 p.m.,388,99
,10:43 a.m.,389,100
,6:28 p.m.,390,101
,7:23 p.m.,391,102
,9:47 p.m.,392,103
10:25 a.m.,,393,104
,10:43 a.m.,394,100
,2:58 p.m.,395,105
,4:20 p.m.,396,106
,2:50 p.m.,397,107
1:29 p.m.,,398,108
,5:52 a.m.,399,109
,12/2/11 12:01 a.m.,400,110
,11:49 p.m.,401,111
,11:35 p.m.,402,112
,9:45 a.m.,403,113
,11:33 a.m.,404,114
,9:13 a.m.,405,115
,3:29 p.m.,406,116
2:53 p.m.,,407,117
,8:33 a.m.,408,118
11:08 p.m.,,409,119
,6:19 p.m.,410,120
,7:50 a.m.,411,121
,1:52 p.m.,412,122
,9:12 p.m.,413,123
,4:22 p.m.,414,124
2:30 p.m.,,415,70
8:55 a.m.,,416,125
,3:36 p.m.,417,126
,5:39 p.m.,418,127
,11:04 a.m.,419,128
,1:42 p.m.,420,129
,10:58 a.m.,421,130
9:05 a.m. (-00:00),,422,131
,2:49 p.m.,423,132
,10:12 a.m.,424,133
,6:30 p.m.,425,134
,7:59 a.m.,426,135
,6:11 p.m.,427,136
,2:21 p.m.,428,137
2:55 p.m.,,429,138
,5:34 p.m.,430,139
,12:37 p.m.,431,140
,7:37 a.m.,432,141
4:00 p.m.,,433,142
,6:15 a.m.,434,143
,10:52 a.m.,435,144
,3:12 p.m.,436,145
7:10 a.m.,9:22 a.m.,437,146
,10:29 p.m.,438,294
6:40 a.m.,9:28 a.m.,439,3
8:00 a.m.,11:58 a.m.,440,295
,9:43 a.m.,441,296
7:45 p.m.,,442,1
12:00 p.m.,3:16 p.m.,443,24
3:27 p.m.,5:17 p.m.,444,153
,3:31 p.m.,445,297
,11:21 a.m.,446,298
11:25 p.m.,,447,5
,7:17 a.m.,448,299
,5:26 a.m.,449,300
4:00 p.m.,6:25 p.m.,450,159
,9:09 a.m.,451,160
,1:19 p.m.,452,301
9:05 a.m.,1:18 p.m.,453,162
,9:56 a.m.,454,67
7:00 a.m.,9:45 a.m.,455,6
4:15 p.m.,7:39 p.m.,456,7
,1:40 p.m.,457,302
,7:10 p.m.,458,303
,11:32 a.m.,459,304
,5:00 p.m.,460,76
11:50 a.m.,4:09 p.m.,461,8
,1:14 p.m.,462,305
6:00 a.m.,9:05 a.m.,463,9
11:05 a.m.,5:03 p.m.,464,172
,10:27 a.m.,465,306
,10:56 a.m.,466,307
10:15 a.m.,11:50 a.m.,467,175
1:00 p.m.,3:19 p.m.,468,176
,1:30 p.m.,469,308
,3:21 p.m.,470,309
,2:01 p.m.,471,179
2:30 p.m.,5:42 p.m.,472,310
12:00 p.m.,1:14 p.m.,473,181
,8:03 p.m.,474,311
,9:38 p.m.,475,183
10:40 a.m.,2:46 p.m.,476,20
,5:34 p.m.,477,139
,3:25 p.m.,478,154
7:15 a.m.,10:29 a.m.,479,186
6:30 p.m.,,480,2
6:45 p.m.,8:43 p.m.,481,188
7:15 p.m.,,482,94
,7:58 p.m.,483,312
9:15 a.m.,12:09 p.m.,484,313
6:00 a.m.,7:51 a.m.,485,25
7:10 a.m.,9:29 a.m.,486,192
,7:53 p.m.,487,190
3:50 p.m.,6:35 p.m.,488,314
,7:36 p.m.,489,315
8:00 p.m.,9:49 p.m.,490,195
,6:34 p.m.,491,316
,10:45 a.m.,492,197
10:40 a.m.,3:04 p.m.,493,29
1:33 p.m.,4:23 p.m.,494,317
12:15 p.m.,2:52 p.m.,495,200
,4:17 p.m.,496,318
11:55 p.m.,,497,31
4:25 p.m.,,498,319
9:00 p.m.,,499,32
8:25 p.m.,,500,33
6:59 a.m.,10:04 a.m.,501,34
8:35 a.m.,11:44 a.m.,502,35
,9:13 a.m.,503,115
1:30 p.m.,,504,36
,4:59 p.m.,505,320
,8:45 a.m.,506,321
11:08 p.m.,,507,119
5:30 p.m.,,508,211
,8:02 a.m.,509,322
,2:02 p.m.,510,213
,9:11 p.m.,511,214
,4:24 p.m.,512,215
,7:10 p.m.,513,303
,12:12 p.m.,514,323
2:35 p.m.,3:36 p.m.,515,217
2:55 p.m.,5:34 p.m.,516,218
7:15 a.m.,11:07 a.m.,517,219
12:10 p.m.,1:43 p.m.,518,41
7:55 a.m.,11:00 a.m.,519,221
,12:09 p.m.,520,324
1:05 p.m.,3:01 p.m.,521,223
,10:10 a.m.,522,224
3:05 p.m.,6:43 p.m.,523,44
7:30 a.m.,7:57 a.m.,524,226
,4:56 p.m.,525,325
4:00 p.m.,6:09 p.m.,526,228
11:35 a.m.,2:27 p.m.,527,19
7:25 a.m.,11:06 a.m.,528,17
,5:26 p.m.,529,326
11:55 a.m.,6:17 p.m.,530,327
10:40 a.m.,12:48 p.m.,531,233
6:45 a.m.,7:32 a.m.,532,234
4:00 p.m.,6:36 p.m.,533,328
6:00 a.m.,6:19 a.m.,534,48
7:10 a.m.,11:12 a.m.,535,49
7:10 a.m.,3:14 p.m.,536,47
7:10 a.m.,9:32 a.m.,537,0
7:00 p.m.,10:29 p.m.,538,329
6:40 a.m.,9:28 a.m.,539,3
8:00 a.m.,11:58 a.m.,540,295
8:41 a.m.,9:43 a.m.,541,330
7:45 p.m.,10:30 p.m. (Estimated),542,331
11:45 a.m.,2:10 p.m.,543,16
6:30 p.m.,7:25 p.m. (Estimated runway),544,332
3:27 p.m.,5:17 p.m.,545,153
11:25 a.m.,3:31 p.m.,546,333
11:25 p.m.,6:35 a.m. (Estimated runway),547,334
6:00 a.m.,7:17 a.m.,548,335
12:30 a.m.,5:26 a.m.,549,336
4:00 p.m.,6:28 p.m.,550,337
7:35 a.m.,9:14 a.m.,551,338
9:45 a.m.,1:19 p.m.,552,339
7:00 a.m.,9:45 a.m.,553,6
8:15 a.m.,9:56 a.m.,554,340
4:15 p.m.,7:39 p.m.,555,7
9:05 a.m.,1:27 p.m.,556,15
2:30 p.m.,7:10 p.m.,557,341
5:25 p.m.,8:03 p.m.,558,342
11:50 a.m.,4:09 p.m.,559,8
11:40 a.m.,1:14 p.m.,560,343
6:00 a.m.,9:05 a.m.,561,9
11:05 a.m.,5:05 p.m.,562,344
6:00 a.m.,10:27 a.m.,563,345
8:40 a.m.,10:56 a.m.,564,346
7:55 a.m.,11:01 a.m.,565,11
10:15 a.m.,11:56 a.m.,566,12
7:30 a.m.,8:06 a.m.,567,13
1:00 p.m.,3:20 p.m. (runway),568,347
6:45 a.m.,7:40 a.m.,569,18
12:15 p.m.,2:50 p.m.,570,4
12:30 p.m.,3:21 p.m.,571,348
12:00 p.m.,1:15 p.m.,572,349
7:10 p.m.,9:52 p.m. (Estimated),573,350
11:35 a.m.,2:27 p.m.,574,19
10:40 a.m.,2:46 p.m.,575,20
12:57 p.m.,5:34 p.m.,576,351
3:35 p.m.,3:33 p.m.,577,21
7:15 a.m.,10:36 a.m.,578,22
8:05 a.m.,11:32 a.m.,579,352
6:45 p.m.,8:53 p.m.,580,23
12:00 p.m.,3:16 p.m.,581,24
7:15 p.m.,12:21 a.m. (Estimated),582,353
1:55 p.m.,7:58 p.m.,583,354
9:15 a.m.,12:09 p.m.,584,313
6:00 a.m.,7:51 a.m.,585,25
7:10 a.m.,9:31 a.m.,586,26
4:55 p.m.,7:55 p.m.,587,27
7:25 a.m.,11:06 a.m.,588,17
3:50 p.m.,6:38 p.m.,589,355
4:16 p.m.,7:36 p.m.,590,356
8:00 p.m.,9:53 p.m.,591,28
10:25 a.m.,6:34 p.m.,592,357
7:05 a.m.,10:47 a.m.,593,358
10:40 a.m.,3:04 p.m.,594,29
1:33 p.m.,4:23 p.m.,595,317
1:29 p.m.,4:17 p.m.,596,359
11:55 p.m.,5:42 a.m. (Estimated runway),597,360
4:25 p.m.,12:01 a.m. (Estimated runway),598,361
9:00 p.m.,11:49 p.m. (Estimated runway),599,362
8:25 p.m.,11:35 p.m. (Estimated runway),600,363
2:55 p.m.,4:47 p.m.,601,364
6:59 a.m.,10:04 a.m.,602,34
8:35 a.m.,11:44 a.m.,603,35
2:30 p.m.,5:42 p.m.,604,310
8:29 a.m.,9:13 a.m.,605,365
2:53 p.m.,4:59 p.m.,606,366
11:08 p.m.,,607,119
5:30 p.m.,6:40 p.m. (Estimated),608,367
11:15 a.m.,2:00 p.m.,609,368
8:20 p.m.,9:19 p.m. (Estimated),610,369
2:55 p.m.,4:44 p.m.,611,370
2:30 p.m.,7:10 p.m.,612,341
2:35 p.m.,3:43 p.m.,613,38
2:55 p.m.,5:43 p.m.,614,39
7:15 a.m.,11:06 a.m.,615,40
12:10 p.m.,1:43 p.m.,616,41
1:05 p.m.,3:13 p.m.,617,42
7:53 a.m.,1:30 p.m.,618,371
8:35 a.m.,10:16 a.m.,619,43
3:05 p.m.,6:43 p.m.,620,44
4:00 p.m.,6:15 p.m.,621,46
7:10 a.m.,3:14 p.m.,622,47
2:55 p.m.,5:26 p.m.,623,372
11:55 a.m.,5:38 p.m.,624,373
10:40 a.m.,12:50 p.m.,625,30
4:00 p.m.,6:36 p.m.,626,328
6:00 a.m.,6:19 a.m.,627,48
7:10 a.m.,11:12 a.m.,628,49
7:10 a.m.,9:22 a.m.,629,146
,10:29 p.m.,630,294
6:40 a.m.,9:28 a.m.,631,3
8:00 a.m.,11:58 a.m.,632,295
,9:43 a.m.,633,296
7:45 p.m.,,634,1
12:00 p.m.,3:16 p.m.,635,24
